trial_id,administration_id,x,y,t,xy_timepoint_id
222,0,NA,NA,NA,222
223,0,NA,NA,NA,223
224,0,NA,NA,NA,224
225,0,NA,NA,NA,225
226,0,NA,NA,NA,226
227,0,NA,NA,NA,227
228,0,NA,NA,NA,228
229,0,NA,NA,NA,229
230,0,NA,NA,NA,230
231,0,NA,NA,NA,231
232,0,NA,NA,NA,232
233,0,NA,NA,NA,233
234,0,NA,NA,NA,234
235,0,NA,NA,NA,235
236,0,NA,NA,NA,236
237,0,NA,NA,NA,237
238,0,NA,NA,NA,238
239,0,NA,NA,NA,239
240,0,NA,NA,NA,240
241,0,NA,NA,NA,241
242,0,NA,NA,NA,242
243,0,NA,NA,NA,243
244,0,NA,NA,NA,244
245,0,NA,NA,NA,245
246,0,NA,NA,NA,246
247,0,NA,NA,NA,247
248,0,NA,NA,NA,248
249,0,NA,NA,NA,249
250,0,NA,NA,NA,250
251,0,NA,NA,NA,251
252,0,NA,NA,NA,252
253,0,NA,NA,NA,253
254,0,NA,NA,NA,254
255,0,NA,NA,NA,255
